	영화명	감독	주연배우	평점	평가자수	상영시간
208	극장판 바이올렛 에버가든	이시다테 타이치	"['이시카와 유이', ' 나미카와 다이스케']"	9.5	1202	140
209	극장판 반지의 비밀일기	한승우	"['방연지', ' 김선혜', ' 조경이', ' 채민지']"	9.09	107	72
210	극장판 뽀잉: 슈퍼 변신의 비밀	정미화	"['전태열', ' 엄상현', ' 홍소영', ' 정영웅', ' 박선영']"	8.97	98	72
211	극장판 소드 아트 온라인 -오디널 스케일-	이토 토모히코	"['토마츠 하루카', ' 이토 카나에', ' 마츠오카 요시츠구']"	8.96	2249	120
212	극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~	고로 사쿠라	"['조경이', ' 이재현', ' 이지현', ' 윤아영', ' 남도형']"	7.93	44	65
213	극장판 시로바코	미즈시마 츠토무	"['키무라 쥬리', ' 치스가 하루카', ' 사쿠라 아야네', ' 야마오카 유리', ' 요시무라 하루카']"	8.52	63	120
214	극장판 시티헌터: 신주쿠 프라이빗 아이즈	코다마 켄지	"['카미야 아키라', ' 이쿠라 카즈에', ' 겐다 테쇼', ' 코야마 마미']"	6.14	21	96
215	극장판 썬더일레븐 GO VS 골판지 전사 W	미야오 요시카즈	"['테라사키 유카', ' 시모노 히로']"	8.45	143	90
216	극장판 썬더일레븐GO : 궁극의 우정 그리폰	미야오 요시카즈	"['테라사키 유카', ' 오오하라 타카시', ' 사이가 미츠키', ' 후쿠야마 쥰', ' 사와시로 미유키', ' 다케우치 준코']"	9.05	207	94
217	극장판 아따맘마3D : 엄마는 초능력자	타카하시 와타루	"['오가타 켄이치', ' 오리카사 후미코', ' 사카구치 다이스케', ' 와타나베 쿠미코']"	7.3	133	43
218	극장판 안녕 자두야	손석우	"['여민정', ' 양정화', ' 정유미', ' 김현지', ' 최준영', ' 정혜옥']"	7.83	1168	80
219	극장판 암살교실 : 365일의 시간	키시 세이지	"['후쿠야마 쥰', ' 스기타 토모카즈', ' 이토 시즈카', ' 오카모토 노부히코', ' 오오사카 료타']"	8.46	359	92
220	극장판 엉덩이 탐정: 텐텐마을의 수수께끼	시바타 히로키	"['김은아', ' 소연', ' 홍진욱', ' 남도형']"	8.42	31	61
221	극장판 엉덩이 탐정: 화려한 사건 수첩	히라야마 미호	"['김은아', ' 소연']"	4.04	1092	68
222	극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계	닛타 노리오	"['이지현', ' 여윤미', ' 여민정', ' 방연지', ' 양정화', ' 조현정', ' 안영미', ' 은정', ' 안현서', ' 장은숙', ' 강시현', ' 김하영', ' 박성태', ' 한신']"	8.03	58	76
223	극장판 오소마츠 6쌍둥이	후지타 요이치	"['신용우', ' 권창욱', ' 이호산', ' 황창영', ' 최승훈', ' 김혜성']"	9.05	153	108
224	극장판 요괴워치 섀도사이드: 도깨비왕의 부활	우시로 신지	"['카미시라이시 모네', ' 치바 유다이', ' 타무라 무츠미', ' 세키 토모카즈', ' 쿠로다 타카야', ' 여민정', ' 한채언', ' 김지율', ' 홍범기', ' 소정환', ' 강성우', ' 신용우', ' 이호산']"	8.78	320	103
225	극장판 요괴워치: 포에버 프렌즈	타카하시 시게하루	"['신용우', ' 정혜원', ' 박리나', ' 김현지', ' 타네자키 아츠미', ' 키무라 료헤이', ' 토우야마 나오', ' 코자쿠라 에츠코']"	9.15	39	100
226	극장판 요술공주 밍키: 꿈 속의 윤무	유야마 쿠니히코	['코야마 마미']	7.59	29	88
227	극장판 울려라! 유포니엄	이시하라 타츠야	"['쿠로사와 토모요', ' 안자이 치카', ' 아사이 아야카', ' 토요타 모에']"	8.97	122	104
228	극장판 울트라맨 우주 몬스터 대결전	사카모토 코이치	"['미나미 쇼타', ' 미야노 마모루', ' 미야사코 히로유키']"	7.39	36	95
229	극장판 위 베어 베어스: 곰 브라더스	매니 에르난데스	"['송준석', ' 김명준', ' 이주창']"	7.57	92	62
230	극장판 유희왕 : 시공을 초월한 우정	타케시타 켄이치	"['카자마 슌스케', ' 켄', ' 미야시타 유야', ' 타무라 아츠시']"	7.83	325	59
231	극장판 유희왕 더 다크 사이드 오브 디멘션즈	쿠와바라 사토시	"['엄상현', ' 장성호']"	8.88	407	130
232	극장판 짱구는 못말려 : 습격!! 외계인 덩덩이	하시모토 마사카즈	"['박영남', ' 양정화']"	8.61	1154	103
233	극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!	하시모토 마사카즈	"['박영남', ' 김환진', ' 강희선', ' 여민정', ' 정유미']"	9.02	677	100
234	극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~	타카하시 와타루	"['박영남', ' 강희선', ' 김환진', ' 여민정']"	8.1	1192	104
235	극장판 쿠로코의 농구 라스트 게임	타다 슌스케	"['오노 켄쇼', ' 오노 유우키', ' 사이토 치와']"	9.1	463	91
236	극장판 타오르지마 버스터-블랙어썰트의 귀환	조영광	"['홍범기', ' 안효민', ' 안영미']"	9.56	71	73
237	극장판 토미카 하이퍼레스큐 드라이브헤드	카토 타카오	"['김지혜', ' 김유정', ' 김미강', ' 권민경', ' 김현미', ' 하호준', ' 최치헌', ' 신승현', ' 윤한솔', ' 김태진']"	6.57	35	58
238	극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드	사카모토 코이치	"['남도형', ' 장민혁', ' 박성영', ' 송하림']"	8.27	45	63
239	"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~"	사카모토 코이치	"['류세이 료', ' 사이토 슈스케', ' 킨죠 야마토']"	8.46	689	60
240	극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE	와타나베 카츠야	"['심규혁', ' 이인석', ' 강시현', ' 홍진욱', ' 김서영', ' 서원석', ' 김장', ' 이주창', ' 방성준', ' 이재범', ' 윤아영', ' 전광주', ' 이정구', ' 이유리', ' 이현', ' 박고운', ' 박요한', ' 김현욱', ' 정주원', ' 유해무', ' 이인성', ' 문유정', ' 오인성', ' 최문자', ' 황창영', ' 곽규미', ' 송준석', ' 김도영', ' 채민지', ' 김연우', ' 이새아', ' 시손 쥰', ' 히라마키 진', ' 코지마 리리아', ' 요코하마 류세이', ' 모리타카 아이', ' 나가하마 신', ' 류세이 료', ' 사이토 슈스케', ' 킨죠 야마토', ' 시오노 아키히사', ' 콘노 아유리', ' 마루야마 아츠시', ' 오오쿠치 켄고', ' 후쿠하라 하루카', ' 세키네 츠토무']"	8.41	527	60
241	극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드	나카자와 쇼지로	"['니시카와 슌스케', ' 마츠모토 가쿠', ' 나카무라 카이토', ' 야노 유카', ' 야마야 카스미']"	8.92	437	60
242	극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지	타케모토 노보루	"['나카오 마사키', ' 야나기 미키', ' 난바 쇼헤이', ' 와타나베 츠루기', ' 타테이시 하루카', ' 쿠니시마 나오키', ' 니시카와 슌스케', ' 마츠모토 가쿠']"	8.65	236	58
243	극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전	타케모토 노보루	"['치바 유다이', ' 오자와 료타', ' 야마다 유키']"	7.87	171	81
244	극장판 페어리 테일: 드래곤 크라이	미나미카와 타츠마	"['카키하라 테츠야', ' 히라노 아야', ' 쿠기미야 리에', ' 나카무라 유이치', ' 오오하라 사야카']"	9.06	51	85
245	극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에', ' 우에다 유지']"	8.04	76	80
246	극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에', ' 조현정', ' 이선호']"	8.1	827	98
247	극장판 포켓몬스터 너로 정했다!	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에']"	8.85	1778	98
248	극장판 포켓몬스터 모두의 이야기	야지마 테츠오	"['마츠모토 리카', ' 오오타니 이쿠에']"	8.97	710	98
249	극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에', ' 타카하시 히데키', ' 미즈키 나나']"	8.13	271	97
250	극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에', ' 미즈키 나나']"	7.77	115	98
251	"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성"	유야마 쿠니히코	['오오타니 이쿠에']	8.96	611	94
252	극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」	유야마 쿠니히코	"['오오타니 이쿠에', ' 마츠모토 리카', ' 미야노 마모루']"	8.13	418	93
253	극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이	유야마 쿠니히코	"['마츠모토 리카', ' 오오타니 이쿠에', ' 우에다 유지', ' 임채헌', ' 이선호', ' 정미숙', ' 변영희']"	8.06	664	90
254	극장판 프랭키와 친구들: 생명의 나무	박정오	"['이소은', ' 안영미', ' 김민정', ' 최승훈']"	8.63	198	72
255	극장판 프리! - 테이크 유어 마크 -	카와나미 에이사쿠	"['시마자키 노부나가', ' 스즈키 타츠히사', ' 미야노 마모루']"	9.02	90	100
256	극장판 프리파라 모두 모여라! 프리즘☆투어즈	히시다 마사카즈	"['아케사카 사토미', ' 아스미 카나', ' 고토 사오리', ' 하라 사유리', ' 이토 카나에', ' 카키하라 테츠야', ' 카토 에미리', ' 치바 스스무']"	7.03	66	90
257	극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리	모리와키 마코토	['모리와키 마코토']	8.16	262	66
258	극적인 하룻밤	하기호	"['윤계상', ' 한예리', ' 박병은', ' 박효주']"	6.59	1914	107
259	극한직업	이병헌	"['류승룡', ' 이하늬', ' 진선규', ' 이동휘', ' 공명']"	8.51	47558	111
260	글래디에이터: 로마 영웅 탄생의 비밀 3D	이기니오 스트라피	"['로라 치아티', ' 베렌 로드리게즈', ' 엠마 테이트', ' 루카 아르젠테로']"	5.19	134	94
261	글래스	M. 나이트 샤말란	"['제임스 맥어보이', ' 안야 테일러 조이', ' 브루스 윌리스', ' 사무엘 L. 잭슨', ' 사라 폴슨']"	7.41	3913	129
262	글러브	강우석	"['알렉사 림 하아스', ' 베르나르도 브리토']"	8.84	6756	5
263	글로리데이	최정열	"['지수', ' 수호', ' 류준열', ' 김희찬']"	7.87	2364	93
264	금빛 모자이크 프리티 데이즈	다나카 모토키	['다나카 모토키']	7.9	99	50
265	기기괴괴 성형수	조경훈	"['문남숙', ' 장민혁', ' 조현정', ' 김보영', ' 최승훈']"	6.89	1281	85
266	기도의 힘	알렉스 켄드릭	"['프리실라 C. 샤이어', ' 카렌 애버크롬비', ' T.C. 스탤링스']"	9.42	103	120
267	기동전사 건담 디 오리진Ⅵ: 탄생 붉은 혜성	야스히코 요시카즈	"['이케다 슈이치', ' 후루야 토오루', ' 우라야마 진', ' 긴가 반죠']"	9.11	53	85
268	기묘한 가족	이민재	"['정재영', ' 김남길', ' 엄지원', ' 이수경', ' 정가람', ' 박인환']"	6.32	4369	112
269	기방도령	남대중	"['준호', ' 정소민', ' 최귀화', ' 예지원', ' 공명']"	5.85	2438	110
270	기생령	고석진	"['한은정', ' 이형석', ' 효민', ' 박성민']"	4.34	854	92
271	기생충	봉준호	"['송강호', ' 이선균', ' 조여정', ' 최우식', ' 박소담', ' 이정은', ' 장혜진']"	8.48	37395	131
272	기술자들	김홍선	"['김우빈', ' 김영철', ' 고창석', ' 이현우', ' 조윤희', ' 임주환']"	7.09	8866	116
273	기억의 밤	장항준	"['강하늘', ' 김무열']"	8.18	10185	109
274	길	정인봉	"['유건우', ' 유아름', ' 최은석']"	8.24	72	75
275	김광석	이상호	"['김광석', ' 이상호', ' 박학기', ' 한동준']"	8.68	1471	82
276	김군	강상우	"['김군', ' 지만원']"	8.14	460	85
277	김복동	송원근	"['김복동', ' 한지민']"	8.84	1279	101
278	깡철이	안권태	"['유아인', ' 김해숙']"	6.97	4481	108
279	꺼져버려 종양군	한연	"['바이바이허', ' 오언조']"	8.64	90	124
280	꼬마 니콜라의 여름방학	로랑 티라르	"['마테오 부와슬리에', ' 발리에리 르메르시', ' 카드 므라드']"	8.38	202	92
281	꼬마 물고기 이자벨: 바다 대모험	사샤 버로우	"['보니 데니슨', ' 토리 스펠링', ' 잭 워드']"	5.24	25	74
282	꼬마 보트 토토: 타요 타요 배 타요	시멘 알스빅	['마리 블로쿠스']	6.27	26	74
283	꼬마 유령	알랑 그스포너	"['안나 탈바히', ' 요나스 홀덴리에데르', ' 에밀리 쿠쉐', ' 니코 하르퉁그', ' 우 오크센크네츠', ' 허버트 크노프', ' 베티나 스턱키']"	7.56	36	92
284	꼬마 자전거 스피디	마누엘 J. 가르시아	['마누엘 J. 가르시아']	7.74	19	76
285	꼬마 잠수함 올리 2	밥 두셋	['밥 두셋']	6.64	86	72
286	꼬마돼지 베이브의 대모험	테레사 스트로젝	"['마이클 케슬러', ' 엑셀 프랄', ' 랄프 슈미츠', ' 크리스티안 울멘']"	7.67	73	80
287	꼬마마녀 요요와 네네	히라오 타카유키	['히라오 타카유키']	9.04	96	100
288	꼬마비행기 피티와 친구들:사막구출 대작전	루카스 퀴아오	['루카스 퀴아오']	1.41	37	73
289	꼬마영웅 경찰차 프로디	라스무스 A. 실버르센	['로버트 스톨텐베르그']	7.82	49	72
290	꼬마영웅 경찰차 프로디2	라스무스 A. 실버르센	['로버트 스톨텐베르그']	7.82	49	72
291	꼬마영웅 바비	지안밍 후앙	"['캐리 월그렌', ' 체비 체이스', ' 존 헤저', ' 안토니 파딜라', ' 이안 헤콕스', ' 젠 맥앨리스터', ' 김명준', ' 최낙윤', ' 안현서', ' 이인석', ' 김주호', ' 김민성']"	8.02	51	72
292	꼬마잠수함 올리	헤 질리	"['김경희', ' 이슬', ' 이제인', ' 김사라', ' 김한나', ' 장병관', ' 윤세웅', ' 홍후백']"	6.91	253	74
293	꼭두각시	권영락	"['이종수', ' 구지성', ' 원기준', ' 한소영']"	5.5	2461	85
294	꾸루꾸루와 친구들: 무지개 나무의 비밀	문제대	"['조현정', ' 박신희', ' 이소은', ' 서유리']"	6.66	29	74
295	꾸뻬씨의 행복여행	피터 첼섬	"['사이먼 페그', ' 로자먼드 파이크', ' 장 르노']"	8.19	1191	120
296	꾼	장창원	"['현빈', ' 유지태', ' 배성우', ' 박성웅', ' 나나', ' 안세하']"	7.63	12826	117
297	꿀벌 하치의 대모험	아미노 테츠로	"['사이토 아야카', ' 아야카 윌슨', ' 타나카 나오키', ' 코모리 준', ' 반도 에이지', ' 에모토 아키라', ' 아리무라 콘', ' 나카무라 이쿠지', ' 우스다 아사미', ' 나카무라 시도', ' 야스다 나루미']"	8.61	126	95
298	꿈의 제인	조현훈	"['이민지', ' 구교환', ' 이주영']"	8.55	854	104
299	끝과 시작	민규동	['정현정']	8.92	907	45
300	끝까지 간다	김성훈	['사브리나 노우치']	9.03	14760	81
301	"나, 다니엘 블레이크"	켄 로치	"['헤일리 스콰이어', ' 데이브 존스']"	9.31	2326	100
302	나는 공무원이다	구자홍	"['윤제문', ' 송하윤', ' 성준', ' 김희정', ' 서현정', ' 권수현']"	6.14	1550	101
303	"나는 내일, 어제의 너와 만난다"	미키 타카히로	"['후쿠시 소우타', ' 고마츠 나나']"	8.92	5651	110
304	나는 부정한다	믹 잭슨	"['레이첼 와이즈', ' 티모시 스폴', ' 톰 윌킨슨']"	8.45	409	110
305	나는 왕이로소이다	장규성	"['주지훈', ' 백윤식', ' 변희봉', ' 박영규', ' 임원희', ' 김수로', ' 이하늬']"	7.42	3652	120
306	나는보리	김진유	"['김아송', ' 이린하', ' 곽진석', ' 허지나']"	9.49	256	110
307	나라타주	유키사다 이사오	"['마츠모토 준', ' 아리무라 카스미', ' 사카구치 켄타로']"	6.37	392	140
308	나랏말싸미	조철현	"['송강호', ' 박해일', ' 전미선']"	3.38	14277	110
309	나를 구하지 마세요	정연경	"['조서연', ' 최로운', ' 양소민', ' 선화', ' 이휘종', ' 이선희']"	9.34	134	97
310	나를 기억해	이한욱	"['이유영', ' 김희원']"	6.71	1080	102
311	나를 미치게 하는 여자	주드 아패토우	"['에이미 슈머', ' 빌 헤이더', ' 브리 라슨']"	6.45	477	125
312	나를 잊지 말아요	이윤정	['출라얀논 시리폰']	6.73	3622	90
313	나를 차버린 스파이	수잔나 포겔	"['밀라 쿠니스', ' 케이트 맥키넌']"	8.01	1449	117
314	나를 찾아줘	데이빗 핀처	['브라이언 카발라로']	5	3	82
315	나를 찾아줘	김승우	['브라이언 카발라로']	5	3	82
316	나만이 없는 거리	히라카와 유이치로	"['후지와라 타츠야', ' 아리무라 카스미']"	5.26	246	120
317	나미야 잡화점의 기적	히로키 류이치	"['야마다 료스케', ' 무라카미 니지로', ' 칸 이치로', ' 니시다 토시유키']"	7.31	2453	130
318	나비잠	정재은	"['나카야마 미호', ' 김재욱']"	8.49	309	111
319	나쁜 녀석들	줄리어스 에이버리	"['마틴 로렌스', ' 윌 스미스']"	7.1	1397	124
320	나쁜 녀석들: 더 무비	손용호	"['마동석', ' 김상중', ' 김아중', ' 장기용']"	6.43	10369	114
321	나쁜 이웃들	니콜라스 스톨러	"['잭 에프론', ' 세스 로건', ' 로즈 번']"	7.32	488	96
322	나쁜놈은 죽는다	손호	"['손예진', ' 진백림', ' 신현준']"	3.22	499	104
323	나와 봄날의 약속	백승빈	"['장영남', ' 김성균', ' 김학선', ' 이주영', ' 김소희', ' 송예은']"	4.16	128	92
324	나우 유 씨 미 2	존 추	"['제시 아이젠버그', ' 마크 러팔로', ' 우디 해럴슨', ' 데이브 프랭코', ' 리지 캐플란']"	8.31	12380	129
325	나우이즈굿	올 파커	"['다코타 패닝', ' 카야 스코델라리오', ' 제레미 어바인', ' 올리비아 윌리암스', ' 패디 콘시딘']"	8.86	1358	103
326	나의 PS 파트너	변성현	"['지성', ' 김아중']"	8.25	5892	114
327	나의 그리스식 웨딩 2	커크 존스	"['니아 발다로스', ' 존 코베트', ' 엘레나 캠푸리스']"	7.32	243	94
328	나의 독재자	이해준	"['설경구', ' 박해일']"	7.43	2650	127
329	나의 사랑 나의 신부	임찬상	"['조정석', ' 신민아']"	7.96	5446	111
330	"나의 사랑, 그리스"	크리스토퍼 파파칼리아티스	"['J.K. 시몬스', ' 크리스토퍼 파파칼리아티스', ' 안드레아 오스바트', ' 마리아 카보이아니', ' 타우픽 바롬', ' 니키 바칼리']"	8.77	377	114
331	나의 산티아고	줄리아 폰 하인츠	"['데비드 스트리에소브', ' 마르티나 게덱', ' 카롤리네 슈허']"	8.14	733	92
332	나의 살던 고향은	류종헌	['박흥식']	8.96	156	5
